order,clade,group
Pinales,Gymnosperms,Gymnosperms
Ephedrales,Gymnosperms,Gymnosperms
Laurales,Magnoliidae,Angiosperms
Piperales,Magnoliidae,Angiosperms
Alismatales,Monocots,Angiosperms
Asparagales,Monocots,Angiosperms
Liliales,Monocots,Angiosperms
Poales,Monocots,Angiosperms
Dioscoreales,Monocots,Angiosperms
Nymphaeales,Nymphaeales,Angiosperms
Polypodiales,Pteridophytes,Pteridophytes
Cyatheales,Pteridophytes,Pteridophytes
Equisetales,Pteridophytes,Pteridophytes
Hymenophyllales,Pteridophytes,Pteridophytes
Isoetales,Pteridophytes,Pteridophytes
Lycopodiales,Pteridophytes,Pteridophytes
Ophioglossales,Pteridophytes,Pteridophytes
Osmundales,Pteridophytes,Pteridophytes
Selaginellales,Pteridophytes,Pteridophytes
Ranunculales,Basal eudicots,Angiosperms
Apiales,Superasterids,Angiosperms
Aquifoliales,Superasterids,Angiosperms
Asterales,Superasterids,Angiosperms
Boraginales,Superasterids,Angiosperms
Caryophyllales,Superasterids,Angiosperms
Cornales,Superasterids,Angiosperms
Dipsacales,Superasterids,Angiosperms
Ericales,Superasterids,Angiosperms
Gentianales,Superasterids,Angiosperms
Lamiales,Superasterids,Angiosperms
Santalales,Superasterids,Angiosperms
Solanales,Superasterids,Angiosperms
Brassicales,Superrosids,Angiosperms
Celastrales,Superrosids,Angiosperms
Cucurbitales,Superrosids,Angiosperms
Fabales,Superrosids,Angiosperms
Fagales,Superrosids,Angiosperms
Geraniales,Superrosids,Angiosperms
Malpighiales,Superrosids,Angiosperms
Malvales,Superrosids,Angiosperms
Myrtales,Superrosids,Angiosperms
Oxalidales,Superrosids,Angiosperms
Rosales,Superrosids,Angiosperms
Sapindales,Superrosids,Angiosperms
Saxifragales,Superrosids,Angiosperms
Arecales,Monocots,Angiosperms
Vitales,Superrosids,Angiosperms
Zygophyllales,Superrosids,Angiosperms
