"species","datasourceGUID","seedlotGUID","scarified","cs","ws","light","alternating","temperature","nseeds","ngerminated"
"Acer pseudoplatanus","B3AB58F0-AA6D-A3FF-4C23-762788556EC1","1AE6EF20-3EA5-66F0-037D-7AAF133E33CA","0","1","0","1","0",20,40,32
"Acer pseudoplatanus","B3AB58F0-AA6D-A3FF-4C23-762788556EC1","1AE6EF20-3EA5-66F0-037D-7AAF133E33CA","0","0","0","1","0",20,40,0
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",6,17,2
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",14,19,17
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",6,17,1
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",26,17,17
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",14,13,12
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",18,14,14
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",18,20,19
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",18,17,16
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",22,22,22
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",18,22,22
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",14,21,16
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",14,21,19
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",6,23,1
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",18,21,21
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",26,24,23
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",6,18,1
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",10,18,6
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",6,19,1
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",10,20,2
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",18,18,15
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",10,16,4
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",10,15,2
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",26,24,21
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",26,21,21
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",14,25,23
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",26,18,18
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",6,21,2
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",22,21,21
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",18,19,18
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",6,19,0
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",22,24,24
