"species","family","frequency","severity"
"Acer campestre","Sapindaceae",0.03984,0.6918
"Acer pseudoplatanus","Sapindaceae",0.0706,0.68705
"Acer sempervirens","Sapindaceae",0.10187,0.70099
"Achillea arabica","Compositae",2.29121,0.54286
"Achillea atrata","Compositae",1.36504,0.28546
"Achillea clavennae","Compositae",0.84373,0.31832
"Achillea clypeolata","Compositae",0.97152,0.46255
"Achillea distans","Compositae",0.37175,0.53463
"Achillea erba-rotta","Compositae",1.14809,0.35564
"Achillea millefolium","Compositae",1.31363,0.54139
"Achillea nana","Compositae",1.46139,0.28762
"Achillea ptarmica","Compositae",1.60234,0.51384
"Achillea setacea","Compositae",1.32183,0.53765
"Achnatherum bromoides","Poaceae",0.15073,0.70109
"Achnatherum calamagrostis","Poaceae",0.75038,0.432285
"Aconitum lycoctonum","Ranunculaceae",0.11633,0.63676
"Actaea spicata","Ranunculaceae",0.02898,0.69771
"Adenocarpus complicatus","Fabaceae",0.43947,0.38333
"Adenostyles alliariae","Compositae",0.1462,0.5822
"Aegilops biuncialis","Poaceae",0.71151,0.72321
"Aegilops caudata","Poaceae",1.15124,0.80333
"Aegilops cylindrica","Poaceae",1.63651,0.70055
"Aegilops geniculata","Poaceae",1.27204,0.77176
"Aegilops neglecta","Poaceae",1.03197,0.68338
"Aegilops triuncialis","Poaceae",1.2048,0.67276
"Aegopodium podagraria","Apiaceae",0.25686,0.64607
"Aethionema saxatile","Brassicaceae",0.65044,0.5244
"Aethusa cynapium","Apiaceae",1.10771,0.80849
"Agrimonia eupatoria","Rosaceae",0.83225,0.54101
"Agrostemma githago","Caryophyllaceae",2.03298,0.89201
"Agrostis canina","Poaceae",1.05421,0.39908
"Agrostis capillaris","Poaceae",0.86379,0.52099
"Agrostis castellana","Poaceae",0.72333,0.47418
"Agrostis gigantea","Poaceae",1.08923,0.57768
"Agrostis stolonifera","Poaceae",1.23503,0.47931
"Agrostis vinealis","Poaceae",0.99804,0.44823
"Aira caryophyllea","Poaceae",1.13458,0.47578
"Aira cupaniana","Poaceae",1.28301,0.50922
"Aira praecox","Poaceae",1.53945,0.41215
"Ajuga reptans","Lamiaceae",0.23835,0.6253
"Alcea biennis","Malvaceae",1.19723,0.72857
"Alcea rosea","Malvaceae",1.30212,0.77
"Alchemilla alpina","Rosaceae",0.79116,0.37474
"Alisma lanceolatum","Alismataceae",1.41619,0.35053
"Alisma plantago-aquatica","Alismataceae",1.31097,0.33048
"Alliaria petiolata","Brassicaceae",0.1495,0.67947
"Allium angulosum","Amaryllidaceae",1.57689,0.54714
"Allium sphaerocephalon","Amaryllidaceae",1.0145,0.49984
"Allium subhirsutum","Amaryllidaceae",0.20338,0.7039
"Alnus glutinosa","Betulaceae",0.2261,0.64769
"Alopecurus aequalis","Poaceae",1.57384,0.56593
"Alopecurus bulbosus","Poaceae",2.09824,0.51316
"Alopecurus geniculatus","Poaceae",2.1103,0.48008
"Alopecurus myosuroides","Poaceae",1.55617,0.78906
"Alopecurus pratensis","Poaceae",1.51649,0.52233
"Alopecurus vaginatus","Poaceae",1.07539,0.52258
"Althaea officinalis","Malvaceae",1.41647,0.47551
"Alyssoides utriculata","Brassicaceae",0.46312,0.52692
"Alyssum alyssoides","Brassicaceae",1.44827,0.54104
"Amaranthus blitum","Amaranthaceae",1.55337,0.829045
"Amaranthus graecizans","Amaranthaceae",2.15786,0.8481
"Anacamptis pyramidalis","Orchidaceae",0.83451,0.53991
"Anacyclus clavatus","Compositae",1.95867,0.83162
"Anagyris foetida","Fabaceae",0.27278,0.70213
"Anchusa officinalis","Boraginaceae",1.42936,0.67739
"Androsace villosa","Primulaceae",1.6663,0.3495
"Anemonastrum narcissiflorum","Ranunculaceae",1.00376,0.3492
"Angelica archangelica","Apiaceae",0.8185,0.51388
"Angelica sylvestris","Apiaceae",0.52174,0.55079
"Antennaria dioica","Compositae",0.83427,0.40891
"Anthemis arvensis","Compositae",1.48618,0.81355
"Anthemis cotula","Compositae",1.86883,0.78806
"Anthoxanthum odoratum","Poaceae",0.98818,0.48925
"Anthriscus sylvestris","Apiaceae",0.69343,0.56971
"Anthyllis vulneraria","Fabaceae",1.18552,0.45718
"Aquilegia alpina","Ranunculaceae",0.2203,0.55909
"Aquilegia atrata","Ranunculaceae",0.17377,0.62011
"Aquilegia bertolonii","Ranunculaceae",0.50001,0.425
"Aquilegia einseleana","Ranunculaceae",0.38099,0.43265
"Aquilegia vulgaris","Ranunculaceae",0.14912,0.63589
"Arabidopsis lyrata","Brassicaceae",0.33269,0.50169
"Arabidopsis thaliana","Brassicaceae",1.36519,0.7077
"Arabis alpina","Brassicaceae",0.65854,0.40477
"Arabis hirsuta","Brassicaceae",0.54699,0.53972
"Arabis scabra","Brassicaceae",1.12641,0.50526
"Arbutus andrachne","Ericaceae",0.11474,0.704
"Arbutus unedo","Ericaceae",0.11668,0.69172
"Arctium lappa","Compositae",0.61261,0.705
"Arctium minus","Compositae",0.73548,0.67936
"Arenaria biflora","Caryophyllaceae",1.58089,0.23362
"Arenaria grandiflora","Caryophyllaceae",1.22823,0.38262
"Arenaria purpurascens","Caryophyllaceae",1.78146,0.32593
"Arenaria serpyllifolia","Caryophyllaceae",1.490995,0.604065
"Armeria maritima","Plumbaginaceae",1.66448,0.46117
"Arnica montana","Compositae",0.82706,0.42694
"Arrhenatherum elatius","Poaceae",1.1288,0.52944
"Artemisia absinthium","Compositae",1.22866,0.70688
"Artemisia annua","Compositae",1.28735,0.81342
"Artemisia arborescens","Compositae",0.57827,0.69217
"Artemisia campestris","Compositae",1.33588,0.47826
"Artemisia glacialis","Compositae",1.15742,0.27073
"Artemisia herba-alba","Compositae",1.66845,0.50619
"Artemisia maritima","Compositae",2.19876,0.475825
"Artemisia vulgaris","Compositae",1.21675,0.70455
"Asparagus acutifolius","Asparagaceae",0.13703,0.68924
"Asparagus albus","Asparagaceae",0.63914,0.68495
"Asparagus officinalis","Asparagaceae",0.76702,0.53308
"Asperula arvensis","Rubiaceae",1.79552,0.82411
"Asphodeline lutea","Asphodelaceae",0.72859,0.67718
"Aster alpinus","Compositae",1.22117,0.36424
"Aster amellus","Compositae",0.66827,0.51586
"Astragalus cicer","Fabaceae",1.07336,0.62329
"Astragalus glycyphyllos","Fabaceae",0.18109,0.6392
"Astragalus spruneri","Fabaceae",0.80932,0.6
"Astrodaucus littoralis","Apiaceae",1.77371,0.5525
"Atocion armeria","Caryophyllaceae",0.66654,0.45895
"Atocion rupestre","Caryophyllaceae",0.57815,0.41371
"Atractylis cancellata","Compositae",1.07594,0.79429
"Atriplex glabriuscula","Chenopodiaceae",1.99986,0.58805
"Atriplex laciniata","Chenopodiaceae",1.98519,0.54062
"Atriplex littoralis","Chenopodiaceae",1.95885,0.61644
"Atriplex patula","Chenopodiaceae",1.62614,0.80903
