genus,species,Temperature,Moisture,Frequency,Severity,Group,mass,NOTE
Acer,Acer campestre,4.981770198,4.221243435,1.31841,0.13881,Low stress - Low disturbance,62.20771354, 
Acer,Acer pseudoplatanus,4.162479102,5.052250589,1.32057,0.16985,Low stress - Low disturbance,79.61135315, 
Acer,Acer sempervirens,6.423360141,3.66453342,1.45995,0.2568,High stress - Low disturbance,8, 
Achillea,Achillea clavennae,1.437226698,3.535405511,0.98593,0.27516,High stress - Low disturbance,0.429333333, 
Achillea,Achillea nana,0.040402964,4.607745904,1.54632,0.2798,High stress - Low disturbance,0.436985437,genus imputed
Achillea,Achillea millefolium,3.434727252,3.827160519,1.93633,0.51128,Low stress - High disturbance,0.165129491, 
Achillea,Achillea ptarmica,4.088669789,6.21533479,1.88365,0.50343,High stress - High disturbance,0.236233333, 
Achillea,Achillea setacea,5.002795976,2.410048818,1.90066,0.50655,High stress - High disturbance,0.1406, 
Achillea,Achillea atrata,0.650689731,4.478319217,1.39521,0.28025,High stress - Low disturbance,0.436985437,genus imputed
Achillea,Achillea clypeolata,4.829016864,3.46907266,1.86022,0.4,Low stress - High disturbance,0.1032, 
Achillea,Achillea distans,4.067609005,3.752614696,1.35903,0.27207,Low stress - Low disturbance,0.249525, 
Achillea,Achillea erba-rotta,0.003812731,4.388928144,1.52013,0.31985,High stress - Low disturbance,0.277, 
Achnatherum,Achnatherum calamagrostis,4.55930946,2.688802143,1.42279,0.245265,High stress - Low disturbance,0.41, 
Achnatherum,Achnatherum bromoides,6.279510336,2.866265904,1.44456,0.24259,High stress - Low disturbance,3.998571429, 
Aconitum,Aconitum lycoctonum,2.872628862,5.378827948,1.22945,0.16715,High stress - Low disturbance,3.4176875, 
Actaea,Actaea spicata,3.59586523,4.70964103,1.29588,0.12851,Low stress - Low disturbance,6.413797802, 
Adenocarpus,Adenocarpus complicatus,6.276846103,2.635611836,1.31488,0.1741,High stress - Low disturbance,8.064185714, 
Adenostyles,Adenostyles alliariae,2.05001924,5.384693861,1.13511,0.14583,High stress - Low disturbance,1.3875,genus imputed
Aegilops,Aegilops geniculata,6.516641976,2.470049614,1.9407,0.72822,High stress - High disturbance,15.12792593, 
Aegilops,Aegilops neglecta,7.345307188,1.88389465,1.89886,0.61385,High stress - High disturbance,13.58, 
Aegilops,Aegilops triuncialis,6.929682081,2.043057696,1.96183,0.63746,High stress - High disturbance,14.47714286, 
Aegilops,Aegilops cylindrica,5.989154337,2.239730975,2.13001,0.69066,High stress - High disturbance,17.19333333, 
Aegilops,Aegilops caudata,7.978387022,3.254064371,2.06596,0.58462,High stress - High disturbance,6.46, 
Aegilops,Aegilops biuncialis,7.125711078,2.689286196,1.75858,0.45526,High stress - High disturbance,13.29666667, 
Aegopodium,Aegopodium podagraria,3.947628382,5.094489275,1.37788,0.31874,Low stress - Low disturbance,2.1267, 
Aethionema,Aethionema saxatile,4.60731665,2.462463296,1.61067,0.37419,High stress - Low disturbance,0.490028571, 
Aethusa,Aethusa cynapium,4.170934598,4.526632767,1.78759,0.76598,Low stress - High disturbance,1.435716667, 
Agrimonia,Agrimonia eupatoria,4.687923071,3.673847641,1.69485,0.43842,Low stress - High disturbance,15.8380596, 
Agrostemma,Agrostemma githago,4.634832529,3.906262804,2.12148,0.88991,Low stress - High disturbance,13.12004167, 
Agrostis,Agrostis capillaris,3.835217206,4.205567083,1.80498,0.43132,Low stress - High disturbance,0.066693435, 
Agrostis,Agrostis stolonifera,4.166301076,5.845937199,1.80321,0.44635,Low stress - High disturbance,0.052087308, 
Agrostis,Agrostis vinealis,4.603876117,3.240813646,1.71765,0.36476,Low stress - High disturbance,0.060133333, 
Agrostis,Agrostis gigantea,3.961425502,5.856015047,1.73271,0.52888,Low stress - High disturbance,0.085894756, 
Agrostis,Agrostis castellana,5.043106171,3.974937207,1.60782,0.34848,Low stress - Low disturbance,0.151612121, 
Agrostis,Agrostis canina,3.680916397,6.515064597,1.56112,0.33733,High stress - Low disturbance,0.059042901, 
Aira,Aira caryophyllea,4.682659706,2.394956378,1.95739,0.42311,High stress - High disturbance,0.133181818, 
Aira,Aira praecox,4.806554904,2.302672401,1.89683,0.39466,High stress - High disturbance,0.1666, 
Aira,Aira cupaniana,6.964364772,1.647590486,1.95045,0.46912,High stress - High disturbance,0.043, 
Ajuga,Ajuga reptans,4.063532623,5.047090954,1.4655,0.28029,Low stress - Low disturbance,1.42822, 
