"species","genus","family","species.relative","genus.relative","family.in.genus.list","output.note"
"Abies cephalonica","Abies","Pinaceae",NA,NA,NA,"present in megatree"
"Abies nordmanniana","Abies","Pinaceae",NA,NA,NA,"insertion based on genus"
"Acer campestre","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"Acer platanoides","Acer","Sapindaceae",NA,NA,NA,"insertion based on genus"
"Acer pseudoplatanus","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"Acer sempervirens","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"Achillea arabica","Achillea","Asteraceae",NA,NA,NA,"present in megatree"
"Achillea atrata","Achillea","Asteraceae",NA,NA,NA,"present in megatree"
"Achillea clavennae","Achillea","Asteraceae",NA,NA,NA,"present in megatree"
"Achillea clypeolata","Achillea","Asteraceae",NA,NA,NA,"present in megatree"
"Achillea distans","Achillea","Asteraceae",NA,NA,NA,"present in megatree"
"Achillea erba-rotta","Achillea","Asteraceae",NA,NA,NA,"present in megatree"
"Achillea maritima","Achillea","Asteraceae",NA,NA,NA,"insertion based on genus"
"Achillea millefolium","Achillea","Asteraceae",NA,NA,NA,"present in megatree"
"Achillea nana","Achillea","Asteraceae",NA,NA,NA,"present in megatree"
"Achillea ptarmica","Achillea","Asteraceae",NA,NA,NA,"present in megatree"
"Achillea setacea","Achillea","Asteraceae",NA,NA,NA,"present in megatree"
"Achnatherum bromoides","Achnatherum","Poaceae",NA,NA,NA,"present in megatree"
"Achnatherum calamagrostis","Achnatherum","Poaceae",NA,NA,NA,"present in megatree"
"Achnatherum parviflorum","Achnatherum","Poaceae",NA,NA,NA,"insertion based on genus"
"Aconitum lycoctonum","Aconitum","Ranunculaceae",NA,NA,NA,"present in megatree"
"Actaea spicata","Actaea","Ranunculaceae",NA,NA,NA,"present in megatree"
"Adenocarpus complicatus","Adenocarpus","Fabaceae",NA,NA,NA,"present in megatree"
"Adenostyles alliariae","Adenostyles","Asteraceae",NA,NA,NA,"present in megatree"
"Aegilops biuncialis","Aegilops","Poaceae",NA,NA,NA,"present in megatree"
"Aegilops caudata","Aegilops","Poaceae",NA,NA,NA,"present in megatree"
"Aegilops cylindrica","Aegilops","Poaceae",NA,NA,NA,"present in megatree"
"Aegilops geniculata","Aegilops","Poaceae",NA,NA,NA,"present in megatree"
"Aegilops neglecta","Aegilops","Poaceae",NA,NA,NA,"present in megatree"
"Aegilops triuncialis","Aegilops","Poaceae",NA,NA,NA,"present in megatree"
"Aegonychon purpurocaeruleum","Aegonychon","Boraginaceae",NA,NA,NA,"present in megatree"
"Aegopodium podagraria","Aegopodium","Apiaceae",NA,NA,NA,"present in megatree"
"Aethionema saxatile","Aethionema","Brassicaceae",NA,NA,NA,"present in megatree"
"Aethusa cynapium","Aethusa","Apiaceae",NA,NA,NA,"present in megatree"
"Agrimonia eupatoria","Agrimonia","Rosaceae",NA,NA,NA,"present in megatree"
"Agrostemma githago","Agrostemma","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Agrostis canina","Agrostis","Poaceae",NA,NA,NA,"present in megatree"
"Agrostis capillaris","Agrostis","Poaceae",NA,NA,NA,"present in megatree"
"Agrostis castellana","Agrostis","Poaceae",NA,NA,NA,"present in megatree"
"Agrostis gigantea","Agrostis","Poaceae",NA,NA,NA,"present in megatree"
"Agrostis pourretii","Agrostis","Poaceae",NA,NA,NA,"insertion based on genus"
"Agrostis stolonifera","Agrostis","Poaceae",NA,NA,NA,"present in megatree"
"Agrostis vinealis","Agrostis","Poaceae",NA,NA,NA,"present in megatree"
"Aira caryophyllea","Aira","Poaceae",NA,NA,NA,"present in megatree"
"Aira cupaniana","Aira","Poaceae",NA,NA,NA,"present in megatree"
"Aira elegans","Aira","Poaceae",NA,NA,NA,"insertion based on genus"
"Aira praecox","Aira","Poaceae",NA,NA,NA,"present in megatree"
"Ajuga reptans","Ajuga","Lamiaceae",NA,NA,NA,"present in megatree"
"Alcea biennis","Alcea","Malvaceae",NA,NA,NA,"present in megatree"
"Alcea rosea","Alcea","Malvaceae",NA,NA,NA,"present in megatree"
"Alcea rugosa","Alcea","Malvaceae",NA,NA,NA,"insertion based on genus"
